PROCESSOS - CONSELHO DE TRANSFORMAÇÃO DIGITAL,,,,,,,,,"R$ 1.030.247.955,41",,,,,,"R$ 428.862.865,16",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROVIDêNCIAS,ID,DATA RECEB CTD,PROCESSO,ÓRGÃO,OBJETO,CATEGORIAS DA DEMANDA,SUB-CATEGORIA PRINCIPAL,MODALIDADE DE CONTRATAÇÃO,VALOR SOLICITADO,RESPONSÁVEL FICHA TÉCNICA,STATUS DA FICHA (TÉCNICOS),CATEGORIA VALOR,REUNIÃO CTD,STATUS DELIBERAÇÃO CONSELHO ou COMITÊ,VALOR APROVADO,TEM NO DOE?,VALOR CONTRATADO,DATA CONTRATAÇÃO,FORMA DE EXECUÇÃO,VIGÊNCIA DA CONTRATAÇÃO,COMPROMISSO DE GOVERNO ,MARCO TEMPORAL,OBSERVAÇÃO GOVERNADOR,OBSERVAÇÕES  SIA,Coluna 1,Coluna 2,RENOVAÇÃO,CONTRATO,VALOR MENSAL PAGO,PLANO ESTRATÉGICO,SISTEMA (TIPO),INFRAESTRUTURA E EQUIPAMENTOS (TIPO),CONSULTORIA / OUTROS SERVIÇOS de TIC,CONCLUSÃO TÉCNICA DA FICHA,DESPACHO DECISÓRIO COMITÊ (ABAIXO DE 600MIL),DESPACHO AD REFEREDUM (ACIMA DE 600 MIL),OBSERVAÇÕES REUNIÃO,OBSERVAÇÕES,REUNIÃO - DATA,PONTO DE PAUTA NA REUNIÃO
,DCTD25,04/07/2024,00011.077229/2023-16,SEDUC,"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE PRODUÇÃO, TRANSMISSÃO DE AULAS E CONTEÚDOS DE PROJETOS DE ENSINO DA SEDUC ","SISTEMA, INFRAESTRUTURA E EQUIPAMENTOS DE TIC, CONSULTORIA E SERVIÇOS DE TIC",Serviços / Outros Serviços Especializados,Pregão Eletrônico,"R$ 85.702.237,50",MÁRCIO (SIA),CONCLUÍDO,ACIMA 600 MIL,24/10/2024,REJEITADO,,,,22/01/2025,Contratação de Pessoa Jurídica,36M,CG-075,DEPOIS DO COMITÊ,,FICHA REVISADA - FICHA INSERIDA NO SEI COM DESPACHO (AGUARDANDO REUNIÃO DO CONSELHO PARA DELIBERAÇÃO),,,NÃO,,,EIXO ESTRATÉGICO 2 ,Licença,"Hospedagem de Sistemas, Infraestrutura de TIC, Suporte e Atendimento a Usuário de TIC",Outros serviços técnicos especializados;,AGUARDANDO REUNIÃO DO CONSELHO PARA DELIBERAÇÃO,NÃO SE APLICA - ABAIXO DO VALOR MÍNIMO,APROVADO,,,24/10/2024,
,DCTD21,04/07/2024,00011.022480/2024-16,SEDUC,AQUISIÇÃO DE UM SIMULADOR MARÍTIMO FULL MISSION PARA A REDE ESTADUAL DE ENSINO DO PIAUÍ ,INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Outros Equipamentos,Contratação Direta (Inexigibilidade),"R$ 1.903.690,00",NÃO SE APLICA,NÃO SE APLICA,ACIMA 600 MIL,30/07/2024,APROVADO,"R$ 1.903.690,00",,"R$ 1.903.690,00",08/07/2024,Contratação de Pessoa Jurídica,12M,CG-075,ANTES DO COMITÊ,,,,,-,-,-,-,,Materiais e Equipamentos Diversos,,NÃO SE APLICA,NÃO SE APLICA ,NÃO SE APLICA ,JÁ HAVIA SIDO APROVADO,,30/07/2024,P13
,DCTD26,4/7/2024,00011.014348/2024-31,SEDUC,AQUISIÇÃO DE LICENÇAS DE AUTOCAD PARA OS ENGENHEIROS LOTADOS NA SECRETARIA,SISTEMA,Novo Sistema / Licença,Adesão à Ata de Registro de Preços,"R$ 1.017.000,00",NÃO SE APLICA,NÃO SE APLICA,ACIMA 600 MIL,30/07/2024,APROVADO,"R$ 1.017.000,00",,"R$ 1.662.656,50",20/12/2024,Contratação de Pessoa Jurídica,36M,CG-075,DEPOIS DO COMITÊ,,,,,*aprovado sem ficha*,*aprovado sem ficha*,*aprovado sem ficha*,EIXO ESTRATÉGICO 2 ,Licença,,,,NÃO SE APLICA,,,,30/07/2024,P14
,DCTD22,04/07/2024,00015.000639/2024-10,GAMIL,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A AQUISIÇÃO DE KIT  VARREDURA PARA ATENDER AS DEMANDAS DA DINTI,INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Outros Equipamentos,Contratação Direta (Inexigibilidade),"R$ 495.000,00",NÃO SE APLICA,NÃO SE APLICA,ABAIXO DE 600 MIL,NÃO SE APLICA,CANCELADO,"R$ 495.000,00",,"R$ 41.250,00",28/08/2024,Contratação de Pessoa Jurídica,12M,CG-171,DEPOIS DO COMITÊ,,,,,*aprovadi*,*aprovado*,*aprovadi*,EIXO ESTRATÉGICO 2 ,,Materiais e Equipamentos Diversos,,,,APROVADO,,Despacho informando NÃO ser da competência do Conselho deliberar sobre o caso.,,
,DCTD24,04/07/2024,00011.075477/2023-14,SEDUC,AQUISIÇÃO DE LICENÇAS DA CREATIVE CLOUD E LICENÇAS DO ACROBAT PRO,SISTEMA,Sistema Existente/ Licença,Contratação Direta (Inexigibilidade),"R$ 180.406,70",THIAGO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 180.406,70",,,,Contratação de Pessoa Jurídica,36M,NÃO,DEPOIS DO COMITÊ,,,,,NÃO,,,NÃO,Licença,,,SUGERE DEFERIMENTO,APROVADO,APROVADO,,,30/07/2024,
,DCTD23,04/07/2024,00011.005516/2024-05,SEDUC,CONTRATAÇÃO OU AQUISIÇÃO DE SISTEMA DE RASTREIO VEICULAR,SISTEMA,Novo Sistema / Assinatura,Adesão à Ata de Registro de Preços,"R$ 78.105,60",THIAGO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 78.105,60",,"R$ 78.105,60",05/12/2024,Contratação de Pessoa Jurídica,12M,NÃO,DEPOIS DO COMITÊ,,,,,NÃO,189/2024,"6.508,80",NÃO,Assinatura,,,SUGERE DEFERIMENTO,Aguardando despacho,APROVADO,,,A DEFINIR,
,DCTD30,08/07/2024,00003.006405/2023-26,PGE,Aquisição de software Google Workspace Enterprise Starter ou versão superior.,INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Serviços / Nuvem,Pregão Eletrônico,"R$ 166.707,00",MÁRCIO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 166.707,00",,"R$ 166.500,00",26/05/2025,Contratação de Pessoa Jurídica,12M,CG-081,DEPOIS DO COMITÊ,,,,,NÃO,,,"Objetivo Estratégico de ""Avançar em Políticas de Transformação Digital""",,Computação em Nuvem,,SUGERE DEFERIMENTO,APROVADO,APROVADO,,,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),P6
,DCTD31,10/07/2024,00027.001132/2023-55,SSP,Contratação de empresa especializada na prestação de serviços na área de operação dos processos de atendimento ao cidadão (contact center) por meio dos canais telefônicos e do aplicativo Whatsapp da SSP.,"SISTEMA, CONSULTORIA E SERVIÇOS DE TIC",Novo Sistema / Licença,Pregão Eletrônico,"R$ 31.800.000,00",MÁRCIO (SIA),CONCLUÍDO,ACIMA 600 MIL,24/10/2024,APROVADO,"R$ 10.156.641,24",,"R$ 10.156.641,24",01/11/2024,Contratação de Pessoa Jurídica,12M,CG-171,DEPOIS DO COMITÊ,,Envio de despacho solicitando complentações (aguardando resposta). Processo deu prosseguimento,,,NÃO,,,EIXO ESTRATÉGICO 2 ,Licença,,Outros serviços técnicos especializados;,AGUARDANDO REUNIÃO DO CONSELHO PARA DELIBERAÇÃO,NÃO SE APLICA ,,,,24/10/2024,
,DCTD32,10/07/2024,00227.002576/2023-51,PIAUIPREV,"Contratação de serviços especializados de solução de tecnologia da informação TIC, de solução única, padronizada e multiclientes, de solução Dados como Serviço (DaaS - Data as a Service) com fornecimento de acesso à dados por meio de API’s do Sistema de Informações do Registro Civil – SIRC.",SISTEMA,Novo Sistema / Assinatura,Contratação Direta (Dispensa),"R$ 177.061,56",THIAGO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 177.061,56",,"R$ 14.755,13",18/09/2024,Contratação de Pessoa Jurídica,12M,CG-083,DEPOIS DO COMITÊ,,,,,NÃO,,,EIXO TRANSVERSAL 3 ,Assinatura,,,SUGERE DEFERIMENTO,APROVADO,APROVADO,,,30/07/2024,P8
,DCTD34,16/07/2024,00027.003744/2024-63,SSP,"Contratação de empresa para o desenvolvimento de solução para prevenção, análise e estudos relacionados à discriminação algorítmica, ao uso indevido de reconhecimento facial, bem como, coleta, conservação, tratamento e transmissão de dados no âmbito da Secretaria de Estado da Segurança Pública.",SISTEMA,Novo Sistema / Contratação de Pessoa Jurídica,Contratação Direta (Dispensa) - FADEX,"R$ 437.040,00",THIAGO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,ANTES COMITÊ,APROVADO,"R$ 437.040,00",,"R$ 437.040,00",08/08/2024,FADEX,12M,CG-171,ANTES DO COMITÊ,,*JÁ TEM APROVAÇÃO  (30/07/2024) - modelo que não foi feito pela gente*,,,*ficha não encontrada*,*ficha não encontrada*,*ficha não encontrada*,EIXO ESTRATÉGICO 2 - Melhoria da qualidade dos serviços públicos,Desenvolvimento (Novo Sistema),,,NÃO SE APLICA,,APROVADO,,Ficha não encontrada,30/07/2024,
,DCTD33,16/07/2024,00017.000896/2024-23,SEPLAN,Aquisição de 3 (três) itens da Solução 2 pela Empresa de Tecnologia da Informação do Estado do Piauí,INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Outros Equipamentos,Contratação Direta (Dispensa) - ETIPI,"R$ 245.049,00",MÁRCIO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 245.049,00",,,,ETIPI,36M,NÃO,DEPOIS DO COMITÊ,,,,,NÃO,,,NÃO,,Materiais e Equipamentos Diversos,,SUGERE DEFERIMENTO,APROVADO,APROVADO,,,30/07/2024,
,DCTD35,17/07/2024,00027.006504/2023-30,SSP,"Contratação de empresa para desenvolvimento e utilização de técnicas de Ciência de Dados e Visualização de Dados para analisar dados/informações relacionadas às ações das forças de Segurança Pública do Estado a fim de identificar padrões e tendências, avaliar a eficácia das políticas pública e fornecer informações úteis para apoiar a tomada de decisões das autoridades locais.",SISTEMA,Novo Sistema / Contratação de Pessoa Jurídica,Contratação Direta (Dispensa) - FADEX,"R$ 359.520,00",MÁRCIO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,ANTES COMITÊ,APROVADO,"R$ 359.520,00",,"R$ 359.520,00",07/08/2024,FADEX,12M,CG-171,ANTES DO COMITÊ,,*JÁ TEM APROVAÇÃO  (30/07/2024) - modelo que não foi feito pela gente*,,,*ficha não encontrada*,*ficha não encontrada*,*ficha não encontrada*,EIXO ESTRATÉGICO 2 - Melhoria da qualidade dos serviços públicos,Desenvolvimento (Novo Sistema),,,NÃO SE APLICA,,APROVADO,,JÁ CONTRATADO,30/07/2024,
Processo devolvido ao órgão para posterior reapresentação,DCT38,26/7/2024,00002.002300/2024-99,SEAD,"Contratação de empresa para fornecimento de solução de proteção de rede composta por equipamentos Firewall do tipo “Next Generation Firewall - NGFW”, incluindo Serviço de Instalação, Configuração, Garantia e Suporte do Fabricante",INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Datacenter / Soluções de Segurança,Pregão Eletrônico,"R$ 80.692.608,50",MÁRCIO (SIA),CONCLUÍDO,ACIMA 600 MIL,"PRÓXIMA (A CONFIRMAR), 30/07/2024",CANCELADO,,,,,Contratação de Pessoa Jurídica,36M,CG-083,DEPOIS DO COMITÊ,,FICHA REVISADA -NSERIDO FICHA NO SEI COM DESPACHO (AGUARDANDO REUNIÃO DO CONSELHO PARA DELIBERAÇÃO),,,,,,EIXO TRANSVERSAL 3,,"Materiais e Equipamentos de TIC, Infraestrutura de TIC",Outros serviços técnicos especializados;,AGUARDANDO REUNIÃO DO CONSELHO PARA DELIBERAÇÃO,NÃO SE APLICA ,,"PARA SERVIÇOS COMUNS: PREÇO UNITÁRIO, REFERNECIA DE PRECOS DE OUTRAS SECRETARIAS, GRAU DE IMPORTANCIA (O QUE VAI FAZER E COMO VAI IMPLEMENTAR). QUANDO FOR ALGO INOVADOR TEM QUE TER APRESENTAÇÃO",,A DEFINIR,P11
,DCT39,29/07/2024,00003.002888/2024-71,PGE,Computação em Nuvem para Hospedagem do Sistema Kanoê - Cloud Computer,INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Serviços / Nuvem,Contratação Direta (Dispensa) - ETIPI,"R$ 1.700.000,00",MÁRCIO (SIA),CONCLUÍDO,ACIMA 600 MIL,24/10/2024,APROVADO,"R$ 322.295,04",,"R$ 322.295,04",26/05/2025,ETIPI,12M,CG-083,DEPOIS DO COMITÊ,,FICHA REVISADA - INSERIDO FICHA NO SEI COM DESPACHO (COM PENDÊNCIAS),,,NÃO,,,EIXO TRANSVERSAL 3 ,,Computação em Nuvem,,"COM PENDÊNCIAS, AGUARDANDO COMPLEMENTAÇÃO DE INFORMAÇÕES",NÃO SE APLICA ,,ETIPI QUE CUIDA. VOLTAR PARA PROXIMA PAUTA COM PARECER DA ETIPI. PRE-APROVADO DESDE QUE A ETIPI faça a HOSPEDAGEM.,,24/10/2024,P7
,DCT40,13/08/2024,00040.000667/2024-11,IASPI,Contratação de empresa para a integração dos sistemas PLAMTA e IASPI/Saúde.,SISTEMA,Sistema Existente / Contratação de Pessoa Jurídica,Contratação Direta (Dispensa),"R$ 55.680,00",THIAGO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 55.680,00",,"R$ 55.680,00",08/10/2024,Contratação de Pessoa Jurídica,ÚNICA,CG-083,DEPOIS DO COMITÊ,,,,,NÃO,13/2024,,EIXO TRANSVERSAL 3 ,Desenvolvimento (Manutenção / Aperfeiçoamento ou Sustentação),,,SUGERE DEFERIMENTO,APROVADO,APROVADO,,,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),
,DCT41,14/8/2024,00002.002588/2024-00,SEAD,"Contratação de empresa de tecnologia da Informação para prestação de serviços de TIC, com equipe especializada disponível para atender às demandas de manutenção e reparos de fibra ótica e dispositivos relacionados, incluindo manutenção de infraestruturas elétricas, de fibra óptica, equipamentos de geração de energia, obras civis e sistemas de climatização.",INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Comunicação de dados,Contratação Direta (Dispensa),"R$ 14.040.000,00",NÃO SE APLICA,NÃO SE APLICA,ACIMA 600 MIL,10/06/2024,APROVADO,"R$ 3.510.000,00",,"R$ 3.510.000,00",,Contratação de Pessoa Jurídica,3M,CG-141 ,DEPOIS DO COMITÊ,,*aprovado sem ficha*,,,*aprovado sem ficha*,*aprovado sem ficha*,*aprovado sem ficha*,EIXO TRANSVERSAL 3 ,,Comunicação de Dados,,,,,,*aprovado sem ficha*,10/06/2024,
,DCT43,19/08/2024,00308.000533/2024-12,IMEPI,"Contratação parcelada de empresa especializada em tecnologia da informação para implantação e fornecimento de licença/locação de software de integração, totalmente on-line com workflow digital, criação, controle, tramitação, assinaturas eletrônicas, autenticidade de documentos e assinatura, aplicativo mobile totalmente integrada e infraestrutura de datacenters, em atendimento às necessidades do instituto de metrologia do estado do piauí (imepi)




",SISTEMA,Novo Sistema / Licença,Convênio Federal,"R$ 2.034.312,18",THIAGO (SIA),CONCLUÍDO,ACIMA 600 MIL,24/10/2024,APROVADO,"R$ 2.034.312,18",,"R$ 2.034.312,19",24/09/2024,Contratação de Pessoa Jurídica,12M,CG-083,DEPOIS DO COMITÊ,,AD REFERENDUM,,,NÃO,10/2024,"670.955,45",EIXO TRANSVERSAL 3 ,Assinatura,,,SUGERE DEFERIMENTO,NÃO SE APLICA ,SIM,,,AD REFERENDUM,
,DCT42,19/08/2024,00223.000368/2024-39,BADESPI,"Contratação de empresa especializada na prestação de serviços técnicos para estudo e aprimoramento do sistema web e aplicativo da Agência de Fomento e Desenvolvimento do Estado do Piauí - BADESPI, com vistas a aperfeiçoar a gestão do processo de solicitação de crédito por pessoas físicas e jurídicas.",SISTEMA,Sistema Existente / Contratação de Pessoa Jurídica,Contratação Direta (Dispensa) - FADEX,"R$ 180.000,00",MÁRCIO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 180.000,00",,"R$ 180.000,00",09/09/2024,FADEX,ÚNICA,CG-029,DEPOIS DO COMITÊ,,,,,NÃO,035/2024,,EIXO TRANSVERSAL 3,Desenvolvimento (Manutenção / Aperfeiçoamento ou Sustentação),,,SUGERE DEFERIMENTO,APROVADO,APROVADO,,,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),
